REL	COMPILE	SEED	RUN	NCOUNT	MAX_TF	LAST_NU	LAST_RE	TARGET_TF	POLICY	GRID	ABORT	FORMAL	DISS
EFFECTIVE_CHI_EQUAL_SCAN/Ra1e10/chinu0.0_chikappa0.0/results	0	NA	86	33	3.2000000000000000E+001	2.1062322986351528E+003	4.0696591803542731E+004	1000.0d0	#define FLOW_ODD_EFFECTIVE_MAGIC	2049x2049	NONFINITE_ABORT:_statistics_at_time_tf_=_3.3000000000000000E+001_absolute_itc_=_1171161	NONE	NONE
EFFECTIVE_CHI_EQUAL_SCAN/Ra1e10/chinu0.1_chikappa0.1/results	0	NA	86	26	2.5000000000000000E+001	5.9277175852299692E+001	2.4151498634517095E+004	1000.0d0	#define FLOW_ODD_EFFECTIVE_MAGIC	2049x2049	NONFINITE_ABORT:_statistics_at_time_tf_=_2.6000000000000000E+001_absolute_itc_=_922733	NONE	NONE
EFFECTIVE_CHI_EQUAL_SCAN/Ra1e10/chinu0.2_chikappa0.2/results	0	NA	86	15	1.4000000000000000E+001	2.5213567279443868E+002	8.9272802591255404E+003	1000.0d0	#define FLOW_ODD_EFFECTIVE_MAGIC	2049x2049	NONFINITE_ABORT:_statistics_at_time_tf_=_1.5000000000000000E+001_absolute_itc_=_532346	NONE	NONE
EFFECTIVE_CHI_EQUAL_SCAN/Ra1e10/chinu0.3_chikappa0.3/results	0	NA	86	15	1.4000000000000000E+001	2.5210996155251692E+002	8.9271692062511502E+003	1000.0d0	#define FLOW_ODD_EFFECTIVE_MAGIC	2049x2049	NONFINITE_ABORT:_statistics_at_time_tf_=_1.5000000000000000E+001_absolute_itc_=_532346	NONE	NONE
EFFECTIVE_CHI_EQUAL_SCAN/Ra1e10/chinu0.4_chikappa0.4/results	0	NA	86	14	1.3000000000000000E+001	9.0611857297635993E+001	5.4370566185123444E+003	1000.0d0	#define FLOW_ODD_EFFECTIVE_MAGIC	2049x2049	NONFINITE_ABORT:_statistics_at_time_tf_=_1.4000000000000000E+001_absolute_itc_=_496856	NONE	NONE
EFFECTIVE_CHI_EQUAL_SCAN/Ra1e10/chinu0.5_chikappa0.5/results	0	NA	86	14	1.3000000000000000E+001	9.0561497916828117E+001	5.4366493379270605E+003	1000.0d0	#define FLOW_ODD_EFFECTIVE_MAGIC	2049x2049	NONFINITE_ABORT:_statistics_at_time_tf_=_1.4000000000000000E+001_absolute_itc_=_496856	NONE	NONE
EFFECTIVE_CHI_EQUAL_SCAN/Ra1e10/chinu0.6_chikappa0.6/results	0	NA	86	13	1.2000000000000000E+001	3.5832390938153004E+001	2.8368554494211367E+003	1000.0d0	#define FLOW_ODD_EFFECTIVE_MAGIC	2049x2049	NONFINITE_ABORT:_statistics_at_time_tf_=_1.3000000000000000E+001_absolute_itc_=_461366	NONE	NONE
EFFECTIVE_CHI_EQUAL_SCAN/Ra1e10/chinu0.7_chikappa0.7/results	0	NA	86	13	1.2000000000000000E+001	3.5775677140328426E+001	2.8372197840982590E+003	1000.0d0	#define FLOW_ODD_EFFECTIVE_MAGIC	2049x2049	NONFINITE_ABORT:_statistics_at_time_tf_=_1.3000000000000000E+001_absolute_itc_=_461366	NONE	NONE
EFFECTIVE_CHI_EQUAL_SCAN/Ra1e10/chinu0.8_chikappa0.8/results	0	NA	86	13	1.2000000000000000E+001	3.5669463849349945E+001	2.8374606390101067E+003	1000.0d0	#define FLOW_ODD_EFFECTIVE_MAGIC	2049x2049	NONFINITE_ABORT:_statistics_at_time_tf_=_1.3000000000000000E+001_absolute_itc_=_461366	NONE	NONE
EFFECTIVE_CHI_EQUAL_SCAN/Ra1e10/chinu0.9_chikappa0.9/results	0	NA	86	13	1.2000000000000000E+001	3.5427665601371984E+001	2.8375454939437154E+003	1000.0d0	#define FLOW_ODD_EFFECTIVE_MAGIC	2049x2049	NONFINITE_ABORT:_statistics_at_time_tf_=_1.3000000000000000E+001_absolute_itc_=_461366	NONE	NONE
